iter	MultiClass
0	1.095398463
1	1.092226433
2	1.08913983
3	1.085992223
4	1.082933477
5	1.079761028
6	1.076719622
7	1.073664534
8	1.070597662
9	1.06755795
10	1.064531427
11	1.061509178
12	1.058629237
13	1.055647219
14	1.052769104
15	1.049925114
16	1.047096058
17	1.044295997
18	1.041478027
19	1.038746765
20	1.036005525
21	1.033236036
22	1.030431462
23	1.027759185
24	1.025038382
25	1.022306451
26	1.019582188
27	1.016870595
28	1.014220332
29	1.011605685
30	1.009061518
31	1.006465711
32	1.003820851
33	1.001220486
34	0.9987913596
35	0.9962867311
36	0.9937444335
37	0.9912498499
38	0.9887335082
39	0.9862608538
40	0.9838138263
41	0.9813674128
42	0.9789426679
43	0.9765780497
44	0.9742087772
45	0.9718675867
46	0.9694967229
47	0.9671412078
48	0.9648307642
49	0.9624725986
50	0.9601256007
51	0.9577843585
52	0.9555350979
53	0.9532354427
54	0.9509628321
55	0.9487608697
56	0.946538821
57	0.9443675075
58	0.9421673302
59	0.9399413763
60	0.937678429
61	0.935525526
62	0.9333617376
63	0.9311808652
64	0.9290884767
65	0.9269987555
66	0.92483674
67	0.9227238283
68	0.9205678792
69	0.9184202161
70	0.9162933865
71	0.9142384494
72	0.9121448877
73	0.9101108164
74	0.9081179131
75	0.9060736224
76	0.9040729031
77	0.9021061337
78	0.9001664801
79	0.8981641427
80	0.8961422909
81	0.8941292184
82	0.8922236265
83	0.890264491
84	0.8883784796
85	0.886486336
86	0.8845582896
87	0.8826259869
88	0.8807697325
89	0.8789061059
90	0.8770502853
91	0.8751970305
92	0.8733461171
93	0.8714795185
94	0.8696601575
95	0.8678931472
96	0.8661313191
97	0.8643580175
98	0.8625770787
99	0.8607920883
100	0.8589795783
101	0.857309667
102	0.8555804882
103	0.8537912075
104	0.8520718872
105	0.8503578609
106	0.8486236449
107	0.846911975
108	0.8452311343
109	0.8435062916
110	0.8418443682
111	0.840146491
112	0.8384818418
113	0.8368667294
114	0.8351667809
115	0.8334745228
116	0.831812145
117	0.8301862746
118	0.8285215565
119	0.826915132
120	0.8252494076
121	0.8236547409
122	0.8220222298
123	0.8203995327
124	0.8188353619
125	0.8172866155
126	0.8156841854
127	0.8141503248
128	0.812527753
129	0.8109483466
130	0.8093763635
131	0.8077958041
132	0.806233849
133	0.8047062626
134	0.8031951518
135	0.801685183
136	0.8001455713
137	0.7986444827
138	0.7971650753
139	0.7957614634
140	0.7942858
141	0.7928249813
142	0.7913620545
143	0.7899570265
144	0.7885800616
145	0.7871566101
146	0.7856675824
147	0.7842584385
148	0.7828404568
149	0.7814577059
150	0.7800018385
151	0.7785515829
152	0.7772080498
153	0.7758307371
154	0.774457506
155	0.7730281746
156	0.7716817491
157	0.7703119836
158	0.768889087
159	0.7675352641
160	0.7661043582
161	0.7647567342
162	0.7634211751
163	0.7620975651
164	0.7607590366
165	0.7594410587
166	0.7581090765
167	0.7567898816
168	0.7554424708
169	0.7541805898
170	0.7528632573
171	0.7515653608
172	0.7502468698
173	0.748944683
174	0.7476666291
175	0.7464122806
176	0.7451211316
177	0.7438538616
178	0.7426115376
179	0.7413704972
180	0.7401284573
181	0.7389165835
182	0.7376850289
183	0.7364208881
184	0.7351749714
185	0.7339284081
186	0.7327128877
187	0.7314765532
188	0.7301804013
189	0.7289830352
190	0.7277714129
191	0.7265838149
192	0.7254159301
193	0.7241599943
194	0.7230356636
195	0.7218104024
196	0.7206799217
197	0.7195114982
198	0.7183503441
199	0.7172457921
200	0.7160793543
201	0.714887875
202	0.7137547681
203	0.7125823796
204	0.7114347891
205	0.7103547611
206	0.7092653066
207	0.7080599687
208	0.7069014517
209	0.7057767789
210	0.7046270156
211	0.7035307565
212	0.7023999895
213	0.7012812029
214	0.7002350617
215	0.6990391821
216	0.6979271699
217	0.6967736391
218	0.6956804185
219	0.6945273342
220	0.693526292
221	0.6924533689
222	0.6914081513
223	0.6902802823
224	0.6891619626
225	0.6880928886
226	0.6869919168
227	0.6859508739
228	0.6848171712
229	0.6837892093
230	0.6827124319
231	0.6816613489
232	0.6806499674
233	0.6796290238
234	0.6785678236
235	0.6775371167
236	0.6764810375
237	0.675452535
238	0.6743840934
239	0.6733681789
240	0.6723573885
241	0.6713443521
242	0.6703438088
243	0.6693545737
244	0.6682904665
245	0.6672895867
246	0.6663270471
247	0.6653137816
248	0.6643453854
249	0.6633238509
250	0.6623463696
251	0.6613930887
252	0.6604587792
253	0.6594790594
254	0.6584981959
255	0.6574799007
256	0.6565491595
257	0.6556050796
258	0.6546133242
259	0.6536943001
260	0.6526774343
261	0.6518125032
262	0.6508271127
263	0.6499329932
264	0.6489846572
265	0.6480416032
266	0.6470839384
267	0.6461136128
268	0.6452184046
269	0.6443093032
270	0.6433537273
271	0.6423753824
272	0.6414580478
273	0.6405060919
274	0.6395943945
275	0.6387706096
276	0.6378917142
277	0.6369524435
278	0.6360794182
279	0.635228867
280	0.6343424886
281	0.6333930577
282	0.6325594326
283	0.6317031525
284	0.6308506905
285	0.6299336245
286	0.6290863003
287	0.6282482238
288	0.6273476815
289	0.6265017257
290	0.6255891214
291	0.6247512191
292	0.6239185516
293	0.6231424107
294	0.6223117161
295	0.6215224915
296	0.6207234849
297	0.6199058141
298	0.6190490322
299	0.6182532862
300	0.6174817746
301	0.6165830381
302	0.6156970644
303	0.6148241984
304	0.6140110321
305	0.6132273366
306	0.6124025757
307	0.6115785551
308	0.6106986432
309	0.6098446228
310	0.6090245735
311	0.6081716277
312	0.6073524269
313	0.6064915721
314	0.6056817104
315	0.6049194761
316	0.6040902977
